date,DQN_Prediction,actual_price
2023-11-28,1030.3445570338447,1053.4151270315633
2023-11-29,1059.8153264533353,1089.6225316866055
2023-11-30,1066.3524678896556,1052.4786100301997
2023-12-01,1070.0959762312866,1093.749109717298
2023-12-04,1080.580039293699,1079.2194179926062
2023-12-05,1049.7892832363113,1009.4423422524709
2023-12-06,1015.3638045497842,1170.7997101799303
2023-12-07,1082.128075980357,923.3536088243812
2023-12-08,839.9150073378852,888.2361010263666
2023-12-11,830.443491291339,856.2396233239451
2023-12-12,817.6942057347674,765.127949590028
2023-12-13,793.3338451333175,747.8183029742029
2023-12-14,771.5730631129501,768.7513137109512
2023-12-15,769.3560342892147,711.2913002939686
2023-12-18,736.6431306794893,717.0691814486916
2023-12-19,735.5448749202886,725.1963940510186
2023-12-20,726.0466823773336,716.409708061457
2023-12-21,729.61885322179,718.9520141644924
2023-12-22,741.7615784417251,706.6097151558315
2023-12-25,737.6320008049897,723.990512426996
2023-12-26,734.9596317839308,760.13660513452
2023-12-27,751.2229758172197,814.9683637366492
2023-12-28,746.5192335891119,813.1794786821142
2023-12-29,751.5360546986116,782.6254515336378
2024-01-02,752.413459463555,738.3466669434149
2024-01-03,735.9359435587979,716.752663019037
2024-01-04,746.7365250508649,731.6129913191588
2024-01-05,747.3090898523477,725.9120200633777
2024-01-08,731.5369213099091,716.2218127389251
2024-01-09,741.9694711378768,718.362651569169
2024-01-10,733.5879719325999,707.3331801386495
2024-01-11,738.5534797813912,721.3230627598477
2024-01-12,729.2959356325771,701.4622312070999
2024-01-15,726.7470703909943,717.6596638969377
2024-01-16,742.8951495627384,708.2187038372825
2024-01-17,730.4857793629566,747.5245415557276
2024-01-18,734.4199826594263,708.2311022089268
2024-01-19,731.7074189173917,696.0200659607065
2024-01-22,731.1316145413824,696.4643676077917
2024-01-23,724.0375862444971,712.1638656944959
2024-01-24,725.2613455205359,740.7682688992811
2024-01-25,739.3856904819538,745.6078332890147
2024-01-26,734.5708828407614,801.0071973439691
2024-01-29,753.2992631254187,760.5521105635927
2024-01-30,747.4647494086043,758.1615445315845
2024-01-31,730.4355459604236,739.2755449480558
2024-02-01,737.4054305618771,748.9561135384237
2024-02-02,736.8162279455426,713.51084878678
2024-02-05,719.7093946929697,744.5981259002026
2024-02-06,716.9460776166878,752.6648264499562
2024-02-07,719.3399632127171,731.5245229382648
2024-02-08,716.858489120233,759.6251123120721
2024-02-19,742.4119730213362,711.7310425398684
2024-02-20,726.7177942360149,705.5606129409883
2024-02-21,723.8084163428139,694.1657494996874
2024-02-22,727.2382858765917,698.029322072532
2024-02-23,726.050241909838,711.2019920233823
2024-02-26,724.8725965773665,676.6808858962054
2024-02-27,719.756028568251,741.0127967839044
2024-02-28,741.1009852015678,763.4427709150855
2024-02-29,745.0702238966194,768.2078250907116
2024-03-01,754.0647625875856,734.9972268463362
2024-03-04,748.263764468958,759.4299379455426
2024-03-05,738.440974557406,747.7825876649179
2024-03-06,743.9737679010444,737.6635166658145
2024-03-07,737.7267083664532,776.576885929597
2024-03-08,748.7065463156482,743.505069458143
2024-03-11,752.1084595211055,748.3006796206603
2024-03-12,735.1201307046035,739.3263782717974
2024-03-13,740.7544707114835,739.2243116768418
2024-03-14,788.1559651766836,805.1272962256087
2024-03-15,785.5149920322079,782.4441153496533
2024-03-18,805.6296302509386,793.2472565055436
2024-03-19,794.7437799577567,812.9465092794433
2024-03-20,803.6752869270732,743.0270122443875
2024-03-21,790.740465738057,843.6733537307422
2024-03-22,821.0286877963786,829.8614877295076
2024-03-25,797.575768015049,783.9583564748937
2024-03-26,793.5600554237049,787.6532312038813
2024-03-27,796.7817922928475,776.4113876655193
2024-03-28,832.8534547757585,771.6039390578192
2024-03-29,833.9638289433728,845.2647047286605
2024-04-01,831.4487992579548,774.0869329506982
2024-04-02,789.9135743388772,746.1983957267554
2024-04-03,771.8511465905074,751.7057924058967
2024-04-08,805.889716092238,797.208936193367
2024-04-09,885.1063520758752,817.1957511999196
2024-04-10,890.167927307536,993.000741630735
2024-04-11,943.9513435950196,981.9854283407384
2024-04-12,1001.7284753628655,938.2500923760078
2024-04-15,1022.4174381519575,1023.54001071748
2024-04-16,1032.3800496998595,972.0252964671654
2024-04-17,1043.5828183701683,841.5697900049256
2024-04-18,992.424977249473,812.9061945742258
2024-04-19,968.4774024342835,1111.1257075400024
2024-04-22,1076.1651791249033,1399.067650323365
2024-04-23,1271.5534375626232,1365.6600379540869
2024-04-24,1182.5293696503743,1309.7602596216702
2024-04-25,1116.114332352698,1116.974139428856
2024-04-26,1063.4058948815218,1149.3617257645342
2024-04-29,1065.8271768794102,1057.162074921457
2024-04-30,1017.6328665396784,1002.2715240408854
2024-05-06,1015.2023057604305,827.9894935902087
2024-05-07,951.6282153434283,953.6568289129178
2024-05-08,976.960168339571,949.0529935634147
2024-05-09,971.9030725196011,910.6662751312839
2024-05-10,985.0322281854548,977.5451315126982
2024-05-13,1010.9835798320979,964.7535715082943
2024-05-14,988.7465003668536,1032.7783973823662
2024-05-15,1025.2383476642644,1012.7131926712237
2024-05-16,1016.7468229093313,1006.3653063788413
2024-05-17,952.2873287779378,947.9874135127087
2024-05-20,929.5249183077007,1018.8604653114521
2024-05-21,898.8948611447217,919.0735709485303
2024-05-22,882.1812162522618,846.4627073874769
2024-05-23,868.6479536602986,823.2133608695972
2024-05-24,859.7013686712728,790.3332792164101
2024-05-27,874.434913622645,851.2746354068679
2024-05-28,948.8708974792326,926.6685734493395
2024-05-29,981.2838804794077,931.3979123156806
