,time,code,open,high,low,close,volume,amount,open_interest
1,2020/1/2 15:00,sse.000852,5603.9331,5682.6426,5586.1399,5676.5579,178712563,1.76875E+11,
2,2020/1/3 15:00,sse.000852,5685.0849,5717.5054,5667.7417,5706.0438,179006818,1.78295E+11,
3,2020/1/6 15:00,sse.000852,5686.1612,5803.8619,5670.343,5764.7334,208487509,2.03211E+11,
4,2020/1/7 15:00,sse.000852,5772.6649,5852.3609,5772.6649,5852.3609,203440347,2.01537E+11,
5,2020/1/8 15:00,sse.000852,5827.3803,5858.8716,5759.3335,5772.4742,218974060,2.13888E+11,
6,2020/1/9 15:00,sse.000852,5815.7396,5864.1821,5815.7396,5864.1821,186388460,1.87337E+11,
7,2020/1/10 15:00,sse.000852,5879.2137,5885.3312,5824.6524,5851.8928,169185946,1.73851E+11,
8,2020/1/13 15:00,sse.000852,5844.9636,5926.7222,5822.4232,5926.7222,160728794,1.72363E+11,
9,2020/1/14 15:00,sse.000852,5939.9026,5948.0429,5911.693,5914.1131,176822328,1.8434E+11,
10,2020/1/15 15:00,sse.000852,5903.7635,5920.0849,5859.1131,5913.518,160084737,1.65878E+11,
11,2020/1/16 15:00,sse.000852,5917.2317,5934.173,5892.7303,5902.1318,147953859,1.62779E+11,
12,2020/1/17 15:00,sse.000852,5913.7922,5927.5366,5869.1739,5879.4121,142819686,1.57112E+11,
13,2020/1/20 15:00,sse.000852,5880.1327,5954.891,5862.1437,5954.8668,148360279,1.67625E+11,
14,2020/1/21 15:00,sse.000852,5951.9985,5951.9985,5901.0014,5901.8587,156332321,1.72604E+11,
15,2020/1/22 15:00,sse.000852,5867.2178,5942.1077,5784.6801,5919.587,162728303,1.80181E+11,
16,2020/1/23 15:00,sse.000852,5852.2033,5897.8997,5643.8412,5699.0083,184762621,1.99558E+11,
17,2020/2/3 15:00,sse.000852,5180.5868,5227.0713,5179.2568,5200.1624,84416544,82967244446,
18,2020/2/4 15:00,sse.000852,4923.1872,5234.2523,4923.1872,5212.1,238201147,2.17391E+11,
19,2020/2/5 15:00,sse.000852,5242.3292,5414.764,5242.3292,5348.3408,207940041,2.11216E+11,
20,2020/2/6 15:00,sse.000852,5353.1888,5538.9364,5326.2112,5515.6411,218481717,2.21847E+11,
21,2020/2/7 15:00,sse.000852,5535.1292,5588.7663,5472.8651,5583.5955,226928728,2.34211E+11,
22,2020/2/10 15:00,sse.000852,5586.9484,5662.422,5567.0504,5661.5621,218068133,2.25935E+11,
23,2020/2/11 15:00,sse.000852,5656.5222,5666.7273,5590.8892,5623.2586,188157880,1.90485E+11,
24,2020/2/12 15:00,sse.000852,5605.9308,5754.2577,5602.3037,5754.2577,202279086,2.12221E+11,
