,time,code,open,high,low,close,volume,amount,open_interest
0,2020/1/2,sse.600050,5.319869615,5.481622407,5.310883349,5.42770481,2022819,1219376050,
1,2020/1/3,sse.600050,5.445677342,5.517567472,5.409732277,5.42770481,1109014,672556201,
2,2020/1/6,sse.600050,5.373787212,5.463649875,5.346828413,5.409732277,1291179,777159850,
3,2020/1/7,sse.600050,5.418718543,5.42770481,5.373787212,5.409732277,899123,540169555,
4,2020/1/8,sse.600050,5.373787212,5.373787212,5.301897082,5.319869615,1375847,816994009,
5,2020/1/9,sse.600050,5.35581468,5.391759745,5.328855881,5.346828413,1003081,597794589,
6,2020/1/10,sse.600050,5.346828413,5.382773478,5.301897082,5.310883349,1192721,708979905,
7,2020/1/13,sse.600050,5.292910816,5.319869615,5.221020686,5.310883349,1182664,693896963,
8,2020/1/14,sse.600050,5.319869615,5.607430134,5.319869615,5.553512537,4439660,2730734269,
9,2020/1/15,sse.600050,5.544526271,5.589457602,5.481622407,5.49959494,1828174,1123324579,
10,2020/1/16,sse.600050,5.526553738,5.544526271,5.391759745,5.409732277,1644930,996695114,
11,2020/1/17,sse.600050,5.391759745,5.42770481,5.35581468,5.364800946,962153,576172806,
12,2020/1/20,sse.600050,5.373787212,5.445677342,5.337842147,5.445677342,1288830,774231132,
13,2020/1/21,sse.600050,5.391759745,5.391759745,5.301897082,5.319869615,1323763,785466438,
14,2020/1/22,sse.600050,5.301897082,5.310883349,5.194061887,5.28392455,1213884,708153687,
15,2020/1/23,sse.600050,5.21203442,5.247979485,5.014336563,5.077240426,2003354,1141228135,
16,2020/2/3,sse.600050,4.574009517,4.681844712,4.574009517,4.574009517,2512115,1280788806,
17,2020/2/4,sse.600050,4.493133121,4.654885913,4.493133121,4.654885913,2126802,1092533327,
18,2020/2/5,sse.600050,4.654885913,4.78069364,4.618940848,4.681844712,1867970,978844079,
19,2020/2/6,sse.600050,4.717789777,4.843597504,4.672858445,4.834611238,1850102,985272975,
20,2020/2/7,sse.600050,4.807652439,4.825624972,4.744748575,4.807652439,1269115,675540206,
21,2020/2/10,sse.600050,4.78069364,4.897515101,4.753734842,4.85258377,1506067,808797219,
22,2020/2/11,sse.600050,4.897515101,4.915487634,4.807652439,4.834611238,1265126,683041636,
23,2020/2/12,sse.600050,4.816638705,4.861570036,4.798666173,4.861570036,1145835,616647075,
24,2020/2/13,sse.600050,4.843597504,4.861570036,4.78069364,4.816638705,1265101,677960653,
25,2020/2/14,sse.600050,4.789679907,4.843597504,4.789679907,4.816638705,913628,489651051,
26,2020/2/17,sse.600050,4.825624972,4.987377764,4.816638705,4.978391498,1989007,1089742919,
27,2020/2/18,sse.600050,4.951432699,5.023322829,4.9244739,4.969405231,1382652,764440553,
28,2020/2/19,sse.600050,4.969405231,4.99636403,4.9244739,4.933460166,1337092,738552264,
29,2020/2/20,sse.600050,4.942446433,5.032309095,4.888528835,5.014336563,1847273,1020268007,
30,2020/2/21,sse.600050,5.014336563,5.113185491,5.005350296,5.059267894,1811201,1021090650,
31,2020/2/24,sse.600050,5.077240426,5.346828413,5.077240426,5.301897082,3274317,1915853102,
32,2020/2/25,sse.600050,5.194061887,5.28392455,5.032309095,5.21203442,2899717,1671514407,
33,2020/2/26,sse.600050,5.113185491,5.535540005,5.095212959,5.292910816,4558880,2706300907,
34,2020/2/27,sse.600050,5.328855881,5.35581468,5.149130556,5.167103089,2686587,1557339567,
35,2020/2/28,sse.600050,5.014336563,5.06825416,4.897515101,4.9244739,2658422,1470733515,
36,2020/3/2,sse.600050,4.969405231,5.167103089,4.942446433,5.122171757,2212515,1250511562,
37,2020/3/3,sse.600050,5.21203442,5.256965751,5.086226693,5.131158024,2482051,1429535243,
38,2020/3/4,sse.600050,5.086226693,5.131158024,5.023322829,5.104199225,1314616,742322638,
39,2020/3/5,sse.600050,5.221020686,5.337842147,5.185075621,5.238993219,3133864,1832545068,
40,2020/3/6,sse.600050,5.167103089,5.203048154,5.122171757,5.14014429,1739444,996607976,
41,2020/3/9,sse.600050,5.06825416,5.230006952,5.041295361,5.06825416,2254111,1283193141,
42,2020/3/10,sse.600050,5.014336563,5.194061887,4.951432699,5.185075621,2432712,1379008394,
43,2020/3/11,sse.600050,5.167103089,5.256965751,5.086226693,5.095212959,2054524,1181760443,
44,2020/3/12,sse.600050,5.023322829,5.06825416,4.960418965,5.005350296,1680394,934871292,
45,2020/3/13,sse.600050,4.789679907,5.005350296,4.762721108,4.9244739,1788452,968266936,
46,2020/3/16,sse.600050,4.951432699,4.960418965,4.744748575,4.771707374,1475347,796081642,
47,2020/3/17,sse.600050,4.789679907,4.879542569,4.645899647,4.789679907,1397117,739586234,
48,2020/3/18,sse.600050,4.798666173,4.843597504,4.654885913,4.672858445,1209161,640327656,
49,2020/3/19,sse.600050,4.63691338,4.70880351,4.538064452,4.663872179,1510147,777705623,
