date,open,close,high,low,volume
2014/1/2,554.2681904508376,554.8799079820842,556.1710783204077,551.3240518412891,60525.888744647025
2014/1/3,622.1511658144991,621.0967977743361,624.618037661952,617.5252059957364,78479.00567289643
2014/1/6,611.9531803388377,610.2139664723464,613.5517261990503,608.3595827219291,68275.30478507481
2014/1/7,616.3455909894539,609.6458543017652,616.6403490787166,608.048564396959,92878.22960875962
2014/1/8,611.3457522820461,612.270311648947,614.1244080331752,608.3679614799357,73433.4178696834
2014/1/9,676.2884539264887,683.9769912858493,695.4072805506828,673.706254152508,92572.08740071328
2014/1/10,603.2064554207899,601.172884463996,606.3758753402486,597.1144381560243,99288.40252325757
2014/1/13,636.9277308335801,631.6431085900837,638.4157716397988,630.6585789850391,77580.8341048725
2014/1/14,649.0417277405508,654.9536969925165,655.7633792186524,646.7417467470385,81261.82275336266
2014/1/15,610.8521238109944,612.2241973448511,613.5383989309497,608.3706980333517,71035.73084159051
2014/1/16,558.9826708107538,557.9616681192866,561.0053227878788,556.104527524625,74984.03636751552
2014/1/17,582.6335830279781,582.6466131055677,583.9030992853264,578.1553316697623,58108.03774661829
2014/1/20,538.5309652753804,539.0939453238063,541.8756275841787,536.9347068639041,81484.42559232948
2014/1/21,562.4021188594758,555.6593570218647,563.1153587203024,554.7445049978173,87505.59960291443
2014/1/22,556.9648280193072,557.4083959746087,559.9070070093585,554.0625475647737,82506.12088551144
2014/1/23,491.90666317265317,494.92080404118525,495.1898984017542,490.6911521309313,80616.11377342092
2014/1/24,507.7479645870906,509.1830751069479,511.28822593164847,506.556417359492,79662.57080047451
2014/1/27,519.3172015383137,519.905092935342,520.7603500748077,517.0275227298312,49891.696209559406
2014/1/28,519.9886480190534,519.35088301759,521.7929629990618,517.9802748812904,53861.0889296408
2014/1/29,493.68418306001956,495.8121884419799,496.36279188747585,492.2844578041827,45382.03785473027
2014/1/30,550.8217824206387,548.661303971712,553.0794044577468,546.389993881524,30679.17677911772
2014/2/7,512.1837859108973,509.09639528722647,513.2250830416713,507.93488187076935,51330.09198592123
2014/2/10,611.2492029844848,609.6986977679649,614.067567755055,604.910819807151,96710.40733483946
2014/2/11,592.1295997809585,587.4845261077072,593.7465318906758,586.7971989960346,71929.02341076326
2014/2/12,520.8627182114528,521.4171990476069,523.266115485833,519.4896544581462,65483.00312271383
2014/2/13,558.2583099016945,556.5451084308414,560.1129784775833,555.5541204083601,63369.57889106699
2014/2/14,577.3532714347277,575.6166831528543,578.7528151635098,574.6080554324417,56822.442271326356
2014/2/17,544.4302861522258,547.9182863051562,551.6093553385145,543.5560827386777,84564.4468624628
2014/2/18,607.0587444803485,600.4225653551717,608.15712761074,599.6228188014869,63868.70153751423
2014/2/19,580.0737989577124,580.1724893164322,582.2861630310211,576.9293379465848,58183.02008125339
2014/2/20,612.6028965660373,612.7499867585325,615.6446342174461,609.3655398246362,69813.06270622353
2014/2/21,614.01778338574,614.3381934772523,616.9201130753362,611.9489596526945,53073.606565290625
2014/2/24,555.4189311254295,550.6590097005959,556.4720091688357,544.9627257935293,90577.69082558445
2014/2/25,576.5915393239501,575.93551003191,580.0157254338235,573.6463823974224,56173.57788457094
2014/2/26,578.7115441326916,579.18955486047,581.9160556869718,576.086446519176,49334.35742060702
2014/2/27,570.9515755280156,572.1080350223181,573.4481548038609,567.891547407984,52049.54353500836
2014/2/28,595.5545156485977,593.0899769282752,597.0048998019106,591.1274328690605,55948.122618031164
2014/3/3,599.3147099685824,595.5234136191734,601.5906719358994,593.7626142771505,44400.856296954626
2014/3/4,496.40251735816764,496.25482983528735,497.803659697463,493.3812000802844,69033.79219593863
2014/3/5,506.8240515679001,506.61551527566326,510.13920398825366,503.2863017867775,110303.11992574438
2014/3/6,501.7975407119226,499.5445161796086,502.83708522815675,497.7641319181975,91154.21670434235
2014/3/7,436.57097177191724,433.1687594471113,437.75013799381094,430.9773392112409,153080.75508873953
2014/3/10,606.5986890263109,602.0736908068648,610.0325995955853,596.0215640404011,95783.72340111028
2014/3/11,495.74179353213617,502.3696252257963,507.21179326133597,493.73979962114606,161779.31308511161
2014/3/12,482.6804906387342,489.96004015128267,490.9509110093752,479.2717505324778,182479.32618435216
2014/3/13,465.38980302063703,466.19086463240683,468.11722830788045,463.25047113497163,125483.41654377684
2014/3/14,536.0243529688036,533.1465879234028,538.1179001409889,528.2814610922683,125815.6361731729
2014/3/17,492.1734177200661,492.1985564980924,495.7625659360027,488.6166461558475,118585.12421526508
2014/3/18,480.3645259921536,485.41460498288274,487.4955529659334,479.2172033676694,119853.67341254675
